web-scraper-order,web-scraper-start-url,container_url,container_url-href,nbre_pieces,nbre_salles_bain,superficie,adresse
"1750612394-71","https://sn.coinafrique.com/categorie/appartements?page=49","Location vente appartement 5 pièces - Mamelles","https://sn.coinafrique.com/annonce/appartements/location-vente-appartement-5-pieces-mamelles-4585546","5","4","280","Mamelles, Dakar, Sénégal"
"1750612403-72","https://sn.coinafrique.com/categorie/appartements?page=48","Location appartement 03 pièces - Mamelles","https://sn.coinafrique.com/annonce/appartements/location-appartement-03-pieces-mamelles-4644072","3","3","130 m2","Almadies, Dakar, Sénégal"
"1750612412-73","https://sn.coinafrique.com/categorie/appartements?page=47","Location studio - Sicap Liberté","https://sn.coinafrique.com/annonce/appartements/location-studio-sicap-liberte-4612882","150","","","Sicap Liberté, Dakar, Sénégal"
"1750612423-74","https://sn.coinafrique.com/categorie/appartements?page=46","Location appartement 04 pièces - Almadies","https://sn.coinafrique.com/annonce/appartements/location-appartement-04-pieces-almadies-4623728","4","5","270","Almadies, Dakar, Sénégal"
"1750612433-75","https://sn.coinafrique.com/categorie/appartements?page=45","Location appartement 4 pièces - Fann-residence","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-fann-residence-4638999","4","4","200","Fann, Dakar, Sénégal"
"1750612441-76","https://sn.coinafrique.com/categorie/appartements?page=44","Location studio  - Ouest foire","https://sn.coinafrique.com/annonce/appartements/location-studio-ouest-foire-4700313","2","2","","Mboro, Sénégal"
"1750612450-77","https://sn.coinafrique.com/categorie/appartements?page=43","Location appartement 03 pièces - Diamalaye 1","https://sn.coinafrique.com/annonce/appartements/location-appartement-03-pieces-diamalaye-1-4722710","3","1","100","Diamalaye 1, Dakar, Sénégal"
"1750612458-78","https://sn.coinafrique.com/categorie/appartements?page=42","Location appartement 4 pièces - Mamelles","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-mamelles-4693410","4","3","","Mamelles, Dakar, Sénégal"
"1750612466-79","https://sn.coinafrique.com/categorie/appartements?page=41","Location appartement 4 pièces - Amitié","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-amitie-4710995","4","3","","Sicap Liberté, Dakar, Sénégal"
"1750612474-80","https://sn.coinafrique.com/categorie/appartements?page=40","Location appartement 4 pièces - Ouakam","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-ouakam-4772778","4","2","200","Ouakam, Dakar, Sénégal"
"1750612482-81","https://sn.coinafrique.com/categorie/appartements?page=39","Location studio  - Ouest foire","https://sn.coinafrique.com/annonce/appartements/location-studio-ouest-foire-4737226","2","2","130 m2","Ouest Foire, Dakar, Sénégal"
"1750612490-82","https://sn.coinafrique.com/categorie/appartements?page=38","Vente appartements - Fass","https://sn.coinafrique.com/annonce/appartements/vente-appartements-fass-4778876","","","","Fass, Dakar, Sénégal"
"1750612498-83","https://sn.coinafrique.com/categorie/appartements?page=37","Location appartement 3 pièces - Zone de Captage","https://sn.coinafrique.com/annonce/appartements/location-appartement-3-pieces-zone-de-captage-4819928","3","2","70","Grand Yoff, Dakar, Sénégal"
"1750612506-84","https://sn.coinafrique.com/categorie/appartements?page=36","Location appartements 4 pièces - Almadies","https://sn.coinafrique.com/annonce/appartements/location-appartements-4-pieces-almadies-4834901","4","","","Almadies, Dakar, Sénégal"
"1750612514-85","https://sn.coinafrique.com/categorie/appartements?page=35","Location appartement 4 pièces - Mamelles","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-mamelles-4860492","4","3","","Mamelles, Dakar, Sénégal"
"1750612523-86","https://sn.coinafrique.com/categorie/appartements?page=34","Location appartement 3 pièces - Zone de captage","https://sn.coinafrique.com/annonce/appartements/location-appartement-3-pieces-zone-de-captage-4874574","3","80","","Grand Yoff, Dakar, Sénégal"
"1750612531-87","https://sn.coinafrique.com/categorie/appartements?page=33","Location appartement 4 pièces - Cité Biagui","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-cite-biagui-4844415","4","3","135","Yoff, Dakar, Sénégal"
"1750612539-88","https://sn.coinafrique.com/categorie/appartements?page=32","Location appartement 5pièces - Sacré-Coeur 3","https://sn.coinafrique.com/annonce/appartements/location-appartement-5pieces-sacre-coeur-3-4864337","5","3","280","Sacré-Coeur, Dakar, Sénégal"
"1750612546-89","https://sn.coinafrique.com/categorie/appartements?page=31","Location appartement 4 pièces - Mamelles","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-mamelles-4928835","4","4","128 m2","Mamelles, Dakar, Sénégal"
"1750612555-90","https://sn.coinafrique.com/categorie/appartements?page=30","Location appartement 5pièces - Sortie9 Almadie 2","https://sn.coinafrique.com/annonce/appartements/location-appartement-5pieces-sortie9-almadie-2-4912572","5","3","150 m2","Mbao, Dakar, Sénégal"
"1750612562-91","https://sn.coinafrique.com/categorie/appartements?page=29","Location studio - Dalifort","https://sn.coinafrique.com/annonce/appartements/location-studio-dalifort-4970871","2","1","70","Pikine, Sénégal"
"1750612570-92","https://sn.coinafrique.com/categorie/appartements?page=28","Location appartement 4 pièces  - Almadi 2 sortie 9 peage","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-almadi-2-sortie-9-peage-4942555","4","3","","Mbao, Dakar, Sénégal"
"1750612577-93","https://sn.coinafrique.com/categorie/appartements?page=27","Location appartements 2 pièces - Almadies","https://sn.coinafrique.com/annonce/appartements/location-appartements-2-pieces-almadies-4974638","2","3","1","Almadies, Dakar, Sénégal"
"1750612586-94","https://sn.coinafrique.com/categorie/appartements?page=26","Vente appartement 4 pièces - kalia","https://sn.coinafrique.com/annonce/appartements/vente-appartement-4-pieces-kalia-5027771","4","2","74 m2","Dakar, Sénégal"
"1750612593-95","https://sn.coinafrique.com/categorie/appartements?page=25","Location appartement 4 pièces - Cité Keur Gorgui","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-cite-keur-gorgui-4996947","4","","","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1750612600-96","https://sn.coinafrique.com/categorie/appartements?page=24","Location appartements 4 pièces - cité Keur Gorgui","https://sn.coinafrique.com/annonce/appartements/location-appartements-4-pieces-cite-keur-gorgui-5021365","4","3","137","Dakar, Sénégal"
"1750612608-97","https://sn.coinafrique.com/categorie/appartements?page=23","Location appartement 4pièces -Ngor Almadies","https://sn.coinafrique.com/annonce/appartements/location-appartement-4pieces-ngor-almadies-5042746","4","3","134","Ngor, Dakar, Sénégal"
"1750612616-98","https://sn.coinafrique.com/categorie/appartements?page=22","Location appartement 3pièces -Almadies","https://sn.coinafrique.com/annonce/appartements/location-appartement-3pieces-almadies-5062961","3","3","12","Almadies, Dakar, Sénégal"
"1750612623-99","https://sn.coinafrique.com/categorie/appartements?page=21","Location appartements 1 pièce - Mamelles","https://sn.coinafrique.com/annonce/appartements/location-appartements-1-piece-mamelles-5083467","1","2","135","Mamelles, Dakar, Sénégal"
"1750612631-100","https://sn.coinafrique.com/categorie/appartements?page=20","Location appartement 3 pièces - Ngor Almadies","https://sn.coinafrique.com/annonce/appartements/location-appartement-3-pieces-ngor-almadies-5101344","3","2","100","Almadies, Dakar, Sénégal"
"1750612639-101","https://sn.coinafrique.com/categorie/appartements?page=19","Location appartement F5 haut standing  au Point E","https://sn.coinafrique.com/annonce/appartements/location-appartement-f5-haut-standing-au-point-e-5114486","5","6","","Point E, Dakar, Sénégal"
"1750612647-102","https://sn.coinafrique.com/categorie/appartements?page=18","Vente appartement 5 pièces -   Liberté 6","https://sn.coinafrique.com/annonce/appartements/vente-appartement-5-pieces-liberte-6-5173598","6","5","","Sicap Liberté, Dakar, Sénégal"
"1750612655-103","https://sn.coinafrique.com/categorie/appartements?page=17","Location appartement  3 pièces - Ngor Almadies","https://sn.coinafrique.com/annonce/appartements/location-appartement-3-pieces-ngor-almadies-5171276","3","2","130 m2","Ngor, Dakar, Sénégal"
"1750612663-104","https://sn.coinafrique.com/categorie/appartements?page=16","Location appartement 5pièces - Dakar l'avenue cheikh anta d...","https://sn.coinafrique.com/annonce/appartements/location-appartement-5pieces-dakar-lavenue-cheikh-anta-diop-5148030","5","4","","Dakar, Sénégal"
"1750612670-105","https://sn.coinafrique.com/categorie/appartements?page=15","Location appartements 3pièces -Bourguiba","https://sn.coinafrique.com/annonce/appartements/location-appartements-3pieces-bourguiba-5166008","3","2","119 m2","Sicap Liberté, Dakar, Sénégal"
"1750612678-106","https://sn.coinafrique.com/categorie/appartements?page=14","Location appartement 4 pièces - Ngor","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-ngor-5224797","7","2","300","Ngor, Dakar, Sénégal"
"1750612685-107","https://sn.coinafrique.com/categorie/appartements?page=13","Location appartement en duplex aux Almadies","https://sn.coinafrique.com/annonce/appartements/location-appartement-en-duplex-aux-almadies-5191735","4","3","","Almadies, Dakar, Sénégal"
"1750612692-108","https://sn.coinafrique.com/categorie/appartements?page=12","Location appartements  meublé 3 pièces - Mermoz-sacré coeur","https://sn.coinafrique.com/annonce/appartements/location-appartements-meuble-3-pieces-mermoz-sacre-coeur-5248366","3","2","","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1750612699-109","https://sn.coinafrique.com/categorie/appartements?page=11","Location studio -  Zac Mbao cité assurance","https://sn.coinafrique.com/annonce/appartements/location-studio-zac-mbao-cite-assurance-5261865","2","1","80","Pikine, Sénégal"
"1750612706-110","https://sn.coinafrique.com/categorie/appartements?page=10","Location appartement f4 haut standing à louer à la cité Keu...","https://sn.coinafrique.com/annonce/appartements/location-appartement-f4-haut-standing-a-louer-a-la-cite-keur-gorgui-5224612","4","4","","Dakar, Sénégal"
"1750612713-111","https://sn.coinafrique.com/categorie/appartements?page=9","Vente appartements 3pièces -Almadies","https://sn.coinafrique.com/annonce/appartements/vente-appartements-3pieces-almadies-5241400","3","2","","Almadies, Dakar, Sénégal"
"1750612721-112","https://sn.coinafrique.com/categorie/appartements?page=8","Location appartement - Cité air Avion","https://sn.coinafrique.com/annonce/appartements/location-appartement-cite-air-avion-5300840","4","2","150 m2","Ouakam, Dakar, Sénégal"
"1750612727-113","https://sn.coinafrique.com/categorie/appartements?page=7","Vente grand et spacieux appartement entièrement meublé à Di...","https://sn.coinafrique.com/annonce/appartements/vente-grand-et-spacieux-appartement-entierement-meuble-a-diamniadio-5273451","4","3","107 m2","Dakar, Sénégal"
"1750612734-114","https://sn.coinafrique.com/categorie/appartements?page=6","Location appartements 3 pièces - Dakar","https://sn.coinafrique.com/annonce/appartements/location-appartements-3-pieces-dakar-5331680","3","","","Dakar, Sénégal"
"1750612740-115","https://sn.coinafrique.com/categorie/appartements?page=5","Location studio à Ngaparou","https://sn.coinafrique.com/annonce/appartements/location-studio-a-ngaparou-5303132","2","1","90","Ngaparou, Sénégal"
"1750612747-116","https://sn.coinafrique.com/categorie/appartements?page=4","Vente appartements 4 pièces - Cité keur gorgui","https://sn.coinafrique.com/annonce/appartements/vente-appartements-4-pieces-cite-keur-gorgui-5362617","3","3","129","Dakar, Sénégal"
"1750612753-117","https://sn.coinafrique.com/categorie/appartements?page=3","Location appartement 3 pièces - avenue blaise diagne","https://sn.coinafrique.com/annonce/appartements/location-appartement-3-pieces-avenue-blaise-diagne-5334167","3","2","","Medina, Dakar, Sénégal"
"1750612758-118","https://sn.coinafrique.com/categorie/appartements?page=2","Vente appartements f2, f4 et f5 à Almadies","https://sn.coinafrique.com/annonce/appartements/vente-appartements-f2-f4-et-f5-a-almadies-5374373","1","1","92","Almadies, Dakar, Sénégal"
"1750612764-119","https://sn.coinafrique.com/categorie/appartements?page=1","Location appartement F3 à Fass","https://sn.coinafrique.com/annonce/appartements/location-appartement-f3-a-fass-5349319","3","2","","Fass, Dakar, Sénégal"
