Nombre_pieces,Prix,Adresse,Image_url
5.0,500000.0,Mamelles,https://images.coinafrique.com/thumb_5338249_uploaded_image1_1747822921.jpg
4.0,250000.0,Mariste,https://images.coinafrique.com/thumb_5377739_uploaded_image1_1750109504.jpg
8.0,600000.0,Diamniadio,https://images.coinafrique.com/thumb_5377736_uploaded_image1_1750109292.jpg
8.0,600000.0,Diamniadio,https://images.coinafrique.com/thumb_5377732_uploaded_image1_1750108940.jpg
,1400000.0,Dakar Plateau,https://images.coinafrique.com/thumb_5370253_uploaded_image1_1749673745.63.jpeg
2.0,200000.0,Rufisque,https://images.coinafrique.com/thumb_5377499_uploaded_image1_1750097069.jpg
3.0,200000.0,Saint Louis,https://images.coinafrique.com/thumb_5377476_uploaded_image1_1750095871.jpg
3.0,700000.0,Sacré-Coeur,https://images.coinafrique.com/thumb_5340616_uploaded_image1_1747922225.jpg
2.0,200000.0,Ouakam,https://images.coinafrique.com/thumb_5336937_uploaded_image1_1747746525.jpg
3.0,700000.0,Ngor,https://images.coinafrique.com/thumb_5340531_uploaded_image1_1747919478.jpg
5.0,600000.0,Ngor,https://images.coinafrique.com/thumb_5340442_uploaded_image1_1747917437.jpg
3.0,550000.0,Point E,https://images.coinafrique.com/thumb_5340427_uploaded_image1_1747917102.jpg
4.0,400000.0,Mariste,https://images.coinafrique.com/thumb_5336839_uploaded_image1_1747742202.jpg
2.0,2500000.0,Ngor,https://images.coinafrique.com/thumb_5376503_uploaded_image1_1750063512.jpg
3.0,3500000.0,Ngor,https://images.coinafrique.com/thumb_5376495_uploaded_image1_1750063113.jpg
3.0,450000.0,Fass,https://images.coinafrique.com/thumb_5375607_uploaded_image1_1749998534.jpg
4.0,450000.0,Ouakam,https://images.coinafrique.com/thumb_5338348_uploaded_image1_1747826532.jpg
3.0,650000.0,Point E,https://images.coinafrique.com/thumb_5334186_uploaded_image1_1747586331.jpg
4.0,800000.0,Mermoz-Sacré Coeur,https://images.coinafrique.com/thumb_5334182_uploaded_image1_1747586111.jpg
4.0,1400000.0,Point E,https://images.coinafrique.com/thumb_5334173_uploaded_image1_1747585627.jpg
3.0,600000.0,Medina,https://images.coinafrique.com/thumb_5334167_uploaded_image1_1747585339.jpg
3.0,850000.0,Mamelles,https://images.coinafrique.com/thumb_5334174_uploaded_image1_1747585784.jpg
3.0,750000.0,Yoff,https://images.coinafrique.com/thumb_5337036_uploaded_image1_1747751593.jpg
2.0,175000.0,Yoff,https://images.coinafrique.com/thumb_5374086_uploaded_image1_1749896937.jpg
4.0,375000.0,Ouest Foire,https://images.coinafrique.com/thumb_5347405_uploaded_image1_1748335406.jpg
5.0,700000.0,Sacré-Coeur,https://images.coinafrique.com/thumb_5328403_uploaded_image1_1747259900.jpg
2.0,300000.0,Ngor,https://images.coinafrique.com/thumb_5328397_uploaded_image1_1747259754.jpg
3.0,415000.0,Ngor,https://images.coinafrique.com/thumb_5328389_uploaded_image1_1747259511.jpg
4.0,650000.0,Almadies,https://images.coinafrique.com/thumb_5331835_uploaded_image1_1747418936.jpg
4.0,375000.0,Sipres,https://images.coinafrique.com/thumb_5329398_uploaded_image1_1747312877.jpg
4.0,500000.0,Almadies,https://images.coinafrique.com/thumb_5335531_uploaded_image1_1747664585.jpg
2.0,300000.0,Almadies,https://images.coinafrique.com/thumb_5335456_uploaded_image1_1747662387.jpg
3.0,750000.0,Yoff,https://images.coinafrique.com/thumb_5372805_uploaded_image1_1749817733.jpg
3.0,350000.0,Ouakam,https://images.coinafrique.com/thumb_5372686_uploaded_image1_1749813085.jpg
4.0,500000.0,Yoff,https://images.coinafrique.com/thumb_5372553_uploaded_image1_1749810034.jpg
5.0,450000.0,Sicap Liberté,https://images.coinafrique.com/thumb_5332410_uploaded_image1_1747470295.jpg
5.0,450000.0,Sicap Liberté,https://images.coinafrique.com/thumb_5332407_uploaded_image1_1747470060.jpg
3.0,250000.0,Yoff,https://images.coinafrique.com/thumb_5372125_uploaded_image1_1749781256.jpg
3.0,1100000.0,Mermoz-Sacré Coeur,https://images.coinafrique.com/thumb_5372092_uploaded_image1_1749776223.jpg
4.0,350000.0,Sicap Liberté,https://images.coinafrique.com/thumb_5327792_uploaded_image1_1747237776.jpg
2.0,250000.0,Damel,https://images.coinafrique.com/thumb_5371571_uploaded_image1_1749748865.jpg
4.0,370000.0,Ouest Foire,https://images.coinafrique.com/thumb_5371441_uploaded_image1_1749742891.jpg
3.0,500000.0,Almadies,https://images.coinafrique.com/thumb_5371421_uploaded_image1_1749741499.jpg
4.0,1200000.0,Dakar Plateau,https://images.coinafrique.com/thumb_5331396_uploaded_image1_1747403717.jpg
3.0,800000.0,Mermoz-Sacré Coeur,https://images.coinafrique.com/thumb_5331374_uploaded_image1_1747402600.jpg
4.0,700000.0,Mermoz-Sacré Coeur,https://images.coinafrique.com/thumb_5331312_uploaded_image1_1747400676.jpg
4.0,300000.0,Sicap Liberté,https://images.coinafrique.com/thumb_5371182_uploaded_image1_1749732232.jpg
4.0,30000000.0,Sicap foire,https://images.coinafrique.com/thumb_5330804_uploaded_image1_1747389352.jpg
4.0,800000.0,Mermoz-Sacré Coeur,https://images.coinafrique.com/thumb_5370853_uploaded_image1_1749722591.jpg
3.0,950000.0,Yoff,https://images.coinafrique.com/thumb_5330793_uploaded_image1_1747388330.jpg
4.0,365000.0,Ouakam,https://images.coinafrique.com/thumb_5330798_uploaded_image1_1747390108.jpg
3.0,400000.0,Sicap Liberté,https://images.coinafrique.com/thumb_5370454_uploaded_image1_1749687632.jpg
2.0,325000.0,Mamelles,https://images.coinafrique.com/thumb_5330363_uploaded_image1_1747348001.jpg
3.0,300000.0,Grand Yoff,https://images.coinafrique.com/thumb_5370414_uploaded_image1_1749682801.jpg
4.0,149000000.0,Sacré-Coeur,https://images.coinafrique.com/thumb_5348520_uploaded_image1_1748378836.jpg
3.0,550000.0,Ngor,https://images.coinafrique.com/thumb_5330106_uploaded_image1_1747336928.jpg
4.0,650000.0,Ngor,https://images.coinafrique.com/thumb_5330070_uploaded_image1_1747335846.jpg
5.0,700000.0,Point E,https://images.coinafrique.com/thumb_5330058_uploaded_image1_1747335186.jpg
5.0,1450000.0,Ngor,https://images.coinafrique.com/thumb_5330055_uploaded_image1_1747335103.jpg
3.0,150000.0,Keur Massar,https://images.coinafrique.com/thumb_5369890_uploaded_image1_1749657524.jpg
4.0,300000.0,Ouakam,https://images.coinafrique.com/thumb_5369765_uploaded_image1_1749654187.jpg
4.0,425000.0,Mamelles,https://images.coinafrique.com/thumb_5369493_uploaded_image1_1749644292.jpg
4.0,800000.0,Mermoz-Sacré Coeur,https://images.coinafrique.com/thumb_5369217_uploaded_image1_1749635796.jpg
3.0,300000.0,Dieuppeul-Derklé,https://images.coinafrique.com/thumb_5328332_uploaded_image1_1747257104.jpg
4.0,280000.0,Ouakam,https://images.coinafrique.com/thumb_5368626_uploaded_image1_1749590217.jpg
2.0,600000.0,Almadies,https://images.coinafrique.com/thumb_5327881_uploaded_image1_1747241281.jpg
4.0,500000.0,Almadies,https://images.coinafrique.com/thumb_5327863_uploaded_image1_1747240950.jpg
4.0,1300000.0,Almadies,https://images.coinafrique.com/thumb_5327851_uploaded_image1_1747240492.jpg
4.0,700000.0,Ngor,https://images.coinafrique.com/thumb_5327842_uploaded_image1_1747240084.jpg
4.0,700000.0,Ngor,https://images.coinafrique.com/thumb_5327845_uploaded_image1_1747240251.jpg
4.0,750000.0,Almadies,https://images.coinafrique.com/thumb_5327835_uploaded_image1_1747239868.jpg
5.0,150000000.0,Dakar,https://images.coinafrique.com/thumb_5367897_uploaded_image1_1749558036.jpg
5.0,220000000.0,Ngor,https://images.coinafrique.com/thumb_5367868_uploaded_image1_1749556523.jpg
4.0,300000.0,Yoff,https://images.coinafrique.com/thumb_5367402_uploaded_image1_1749534295.jpg
3.0,475000.0,Yoff,https://images.coinafrique.com/thumb_5367362_uploaded_image1_1749529362.jpg
3.0,160000.0,Pikine,https://images.coinafrique.com/thumb_5367277_uploaded_image1_1749514117.jpg
4.0,1800000.0,Almadies,https://images.coinafrique.com/thumb_5367061_uploaded_image1_1749502437.jpg
5.0,1000000.0,Yoff,https://images.coinafrique.com/thumb_5322513_uploaded_image1_1746977047.jpg
4.0,350000.0,Sicap Liberté,https://images.coinafrique.com/thumb_5322020_uploaded_image1_1746919251.jpg
4.0,38000000.0,Almadies 2,https://images.coinafrique.com/thumb_5365787_uploaded_image1_1749422866.jpg
4.0,2500000.0,Fann,https://images.coinafrique.com/thumb_5324499_uploaded_image1_1747074519.jpg
3.0,225000.0,Mariste,https://images.coinafrique.com/thumb_5365508_uploaded_image1_1749407808.jpg
3.0,120000.0,Keur Massar,https://images.coinafrique.com/thumb_5323962_uploaded_image1_1747057700.jpg
4.0,1000000.0,Point E,https://images.coinafrique.com/thumb_5321012_uploaded_image1_1746868343.jpg
3.0,500000.0,Mamelles,https://images.coinafrique.com/thumb_5323670_uploaded_image1_1747049827.jpg
4.0,550000.0,Mamelles,https://images.coinafrique.com/thumb_5323676_uploaded_image1_1747050043.jpg
4.0,180000000.0,Almadies,https://images.coinafrique.com/thumb_5323634_uploaded_image1_1747048633.jpg
,,Ouakam,https://images.coinafrique.com/thumb_5323625_uploaded_image1_1747048356.jpg
3.0,250000.0,Ouakam,https://images.coinafrique.com/thumb_5323615_uploaded_image1_1747047983.jpg
6.0,1200000.0,Yoff,https://images.coinafrique.com/thumb_5323568_uploaded_image1_1747045889.jpg
5.0,1000000.0,Yoff,https://images.coinafrique.com/thumb_5323576_uploaded_image1_1747046124.jpg
3.0,300000.0,Ngor,https://images.coinafrique.com/thumb_5322679_uploaded_image1_1746987415.jpg
3.0,350000.0,Sicap Liberté,https://images.coinafrique.com/thumb_5319804_uploaded_image1_1746797592.jpg
4.0,650000.0,Sacré-Coeur,https://images.coinafrique.com/thumb_5322442_uploaded_image1_1746970045.jpg
1.0,180000.0,Fass,https://images.coinafrique.com/thumb_5321769_uploaded_image1_1746903508.jpg
1.0,170000.0,Fass,https://images.coinafrique.com/thumb_5321775_uploaded_image1_1746903907.jpg
3.0,1200000.0,Fann,https://images.coinafrique.com/thumb_5363406_uploaded_image1_1749238532.jpg
1.0,160000.0,Fass,https://images.coinafrique.com/thumb_5321763_uploaded_image1_1746903200.jpg
4.0,400000.0,Yoff,https://images.coinafrique.com/thumb_5318279_uploaded_image1_1746722100.jpg
3.0,1200000.0,Ouakam,https://images.coinafrique.com/thumb_5331606_uploaded_image1_1747409604.jpg
3.0,25000.0,Djily MBaye,https://images.coinafrique.com/thumb_5363183_uploaded_image1_1749224000.jpg
4.0,1900000.0,Almadies,https://images.coinafrique.com/thumb_5331530_uploaded_image1_1747407344.jpg
2.0,215000.0,Yoff,https://images.coinafrique.com/thumb_5321454_uploaded_image1_1746885834.jpg
4.0,38000000.0,Dakar,https://images.coinafrique.com/thumb_5362833_uploaded_image1_1749202044.jpg
3.0,85000000.0,Dakar,https://images.coinafrique.com/thumb_5362617_uploaded_image1_1749177076.jpg
4.0,425000.0,Sipres,https://images.coinafrique.com/thumb_5320290_uploaded_image1_1746813485.jpg
2.0,200000.0,Almadies,https://images.coinafrique.com/thumb_5362136_uploaded_image1_1749142854.jpg
3.0,825000.0,Dakar,https://images.coinafrique.com/thumb_5323753_uploaded_image1_1747052859.jpg
1.0,35000.0,Mamelles,https://images.coinafrique.com/thumb_5361883_uploaded_image1_1749128429.jpg
1.0,45000.0,Mamelles,https://images.coinafrique.com/thumb_5361864_uploaded_image1_1749127268.jpg
3.0,200000.0,Parcelle Assainies,https://images.coinafrique.com/thumb_5361769_uploaded_image1_1749123416.jpg
3.0,4500000.0,Dakar,https://images.coinafrique.com/thumb_5360381_uploaded_image1_1749048725.jpg
3.0,400000.0,Dakar Plateau,https://images.coinafrique.com/thumb_5317600_uploaded_image1_1746704398.jpg
2.0,225000.0,Dakar Plateau,https://images.coinafrique.com/thumb_5317583_uploaded_image1_1746704117.jpg
1.0,170000.0,Fass,https://images.coinafrique.com/thumb_5317419_uploaded_image1_1746699817.jpg
1.0,180000.0,Fass,https://images.coinafrique.com/thumb_5317401_uploaded_image1_1746699470.jpg
3.0,350000.0,Medina,https://images.coinafrique.com/thumb_5317382_uploaded_image1_1746698975.jpg
2.0,250000.0,Medina,https://images.coinafrique.com/thumb_5317371_uploaded_image1_1746698674.jpg
4.0,90000.0,Almadies 2,https://images.coinafrique.com/thumb_5359899_uploaded_image1_1749032968.jpg
2.0,225000.0,Dakar Plateau,https://images.coinafrique.com/thumb_5322297_uploaded_image1_1746956684.jpg
3.0,400000.0,Dakar Plateau,https://images.coinafrique.com/thumb_5322290_uploaded_image1_1746956408.jpg
