Type_annonce,Nombre_pieces,Prix,Adresse,Image_url
Vente,4,150000000,HLM,https://images.coinafrique.com/thumb_5374735_uploaded_image1_1749928677.jpg
Vente,6,400000000,Mermoz-Sacré Coeur,https://images.coinafrique.com/thumb_5338570_uploaded_image1_1747830857.jpg
Location,4,700000,Sipres,https://images.coinafrique.com/thumb_5374127_uploaded_image1_1749898639.jpg
Location,3,190000,Dakar,https://images.coinafrique.com/thumb_5374124_uploaded_image1_1749898600.jpg
Location,15,2600000,Ngor,https://images.coinafrique.com/thumb_5373681_uploaded_image1_1749866413.jpg
Location,9,1500000,Sipres,https://images.coinafrique.com/thumb_5337709_uploaded_image1_1747781637.jpg
Location,5,750000,Mamelles,https://images.coinafrique.com/thumb_5329427_uploaded_image1_1747314097.jpg
Location,7,2500000,Almadies,https://images.coinafrique.com/thumb_5346418_uploaded_image1_1748272996.jpg
Location,8,2500000,Almadies,https://images.coinafrique.com/thumb_5346363_uploaded_image1_1748270811.jpg
Vente,20,1500,Almadies,https://images.coinafrique.com/thumb_5335431_uploaded_image1_1747661242.jpg
Vente,4,45000000,Mbao,https://images.coinafrique.com/thumb_5372859_uploaded_image1_1749820066.jpg
Vente,3,85000000,Mariste,https://images.coinafrique.com/thumb_5372690_uploaded_image1_1749813147.jpg
Location,5,900000,Yoff,https://images.coinafrique.com/thumb_5332489_uploaded_image1_1747474903.jpg
Vente,3,55000000,Mbao,https://images.coinafrique.com/thumb_5372465_uploaded_image1_1749807350.jpg
Vente,3,55000000,Mbao,https://images.coinafrique.com/thumb_5372463_uploaded_image1_1749807318.jpg
Vente,6,160000000,Sicap Liberté,https://images.coinafrique.com/thumb_5340963_uploaded_image1_1747939372.jpg
Vente,6,800,Almadies,https://images.coinafrique.com/thumb_5334325_uploaded_image1_1747593102.jpg
Location,7,2995000,Mermoz-Sacré Coeur,https://images.coinafrique.com/thumb_5331705_uploaded_image1_1747414326.jpg
Vente,5,295000000,Sicap Liberté,https://images.coinafrique.com/thumb_5349914_uploaded_image1_1748451833.jpg
Location,4,200000,Keur Massar,https://images.coinafrique.com/thumb_5371199_uploaded_image1_1749732642.jpg
Vente,5,190000000,Ouakam,https://images.coinafrique.com/thumb_5331128_uploaded_image1_1747396726.jpg
Vente,5,500000000,Saly,https://images.coinafrique.com/thumb_5371079_uploaded_image1_1749729039.jpg
Location,8,1200000,Sicap Liberté,https://images.coinafrique.com/thumb_5370452_uploaded_image1_1749687415.jpg
Vente,7,500000000,Mamelles,https://images.coinafrique.com/thumb_5330134_uploaded_image1_1747337629.jpg
Location,2,60000,M'bour,https://images.coinafrique.com/thumb_5370110_uploaded_image1_1749666613.jpg
Location,5,950000,Yoff,https://images.coinafrique.com/thumb_5329956_uploaded_image1_1747331275.jpg
Vente,7,145000000,Mbao,https://images.coinafrique.com/thumb_5329784_uploaded_image1_1747327163.jpg
Vente,7,145000000,Mbao,https://images.coinafrique.com/thumb_5329787_uploaded_image1_1747327338.jpg
Vente,15,90000000,Rufisque,https://images.coinafrique.com/thumb_5369601_uploaded_image1_1749648224.jpg
Vente,5,120000000,Mbour,https://images.coinafrique.com/thumb_5369462_uploaded_image1_1749643348.jpg
Vente,15,172000000,Dakar,https://images.coinafrique.com/thumb_5368553_uploaded_image1_1749586539.jpg
Vente,6,65000000,Mbao,https://images.coinafrique.com/thumb_5368250_uploaded_image1_1749572614.jpg
Location,4,650000,Mbour,https://images.coinafrique.com/thumb_5367996_uploaded_image1_1749562064.jpg
Vente,Non précisé,500000000,Saly,https://images.coinafrique.com/thumb_5367981_uploaded_image1_1749561459.jpg
Vente,4,360000000,Yoff,https://images.coinafrique.com/thumb_5367883_uploaded_image1_1749557180.jpg
